Point,Force (N),Position (Microns)
1.0,0.0,20027
2.0,0.0004905,20029
3.0,0.001472,20030
4.0,0.003434,20032
5.0,0.002453,20033
6.0,0.001962,20035
7.0,0.002943,20036
8.0,0.003924,20037
9.0,0.002943,20039
10.0,0.003434,20041
11.0,0.003434,20042
12.0,0.005396,20043
13.0,0.006867,20045
14.0,0.005886,20046
15.0,0.004905,20048
16.0,0.006377,20049
17.0,0.004415,20051
18.0,0.004905,20052
19.0,0.005396,20054
20.0,0.005886,20055
21.0,0.006377,20057
22.0,0.004415,20058
23.0,0.006867,20060
24.0,0.005396,20061
25.0,0.005396,20063
26.0,0.004905,20064
27.0,0.006377,20066
28.0,0.007358,20067
29.0,0.009811,20069
30.0,0.00883,20070
31.0,0.008339,20072
32.0,0.007849,20073
33.0,0.006867,20075
34.0,0.006867,20076
35.0,0.006377,20078
36.0,0.00883,20080
37.0,0.008339,20081
38.0,0.007849,20083
39.0,0.00932,20084
40.0,0.00932,20086
41.0,0.01128,20087
42.0,0.0103,20089
43.0,0.01177,20090
44.0,0.01226,20092
45.0,0.01079,20093
46.0,0.01275,20095
47.0,0.01373,20096
48.0,0.01324,20098
49.0,0.01324,20099
50.0,0.01521,20101
51.0,0.0157,20102
52.0,0.01668,20104
53.0,0.0157,20106
54.0,0.01619,20107
55.0,0.01766,20109
56.0,0.01668,20110
57.0,0.01717,20112
58.0,0.01717,20114
59.0,0.01864,20115
60.0,0.01962,20117
61.0,0.0206,20118
62.0,0.0206,20120
63.0,0.02158,20121
64.0,0.02256,20123
65.0,0.02256,20125
66.0,0.02306,20126
67.0,0.02551,20128
68.0,0.02453,20129
69.0,0.02502,20131
70.0,0.02502,20132
71.0,0.02698,20134
72.0,0.026,20136
73.0,0.02796,20137
74.0,0.02845,20139
75.0,0.02747,20140
76.0,0.02894,20142
77.0,0.02992,20144
78.0,0.03041,20145
79.0,0.03139,20147
80.0,0.0309,20148
81.0,0.03139,20150
82.0,0.03336,20152
83.0,0.03483,20153
84.0,0.03336,20155
85.0,0.03532,20157
86.0,0.03385,20158
87.0,0.03581,20160
88.0,0.03728,20161
89.0,0.03777,20163
90.0,0.03679,20165
91.0,0.03777,20166
92.0,0.03875,20168
93.0,0.04022,20170
94.0,0.0412,20171
95.0,0.04022,20173
96.0,0.0417,20174
97.0,0.04366,20176
98.0,0.04317,20178
99.0,0.04464,20179
100.0,0.04317,20181
101.0,0.04513,20183
102.0,0.04513,20184
103.0,0.0466,20186
104.0,0.0466,20188
105.0,0.04709,20189
106.0,0.04856,20191
107.0,0.04856,20193
108.0,0.04807,20194
109.0,0.04905,20196
110.0,0.05003,20198
111.0,0.05102,20199
112.0,0.05249,20201
113.0,0.05298,20203
114.0,0.05396,20204
115.0,0.05494,20206
116.0,0.05445,20208
117.0,0.05494,20209
118.0,0.05543,20211
119.0,0.05739,20213
120.0,0.05592,20215
121.0,0.05837,20216
122.0,0.05837,20218
123.0,0.05788,20220
124.0,0.05886,20221
125.0,0.06083,20223
126.0,0.06181,20225
127.0,0.06083,20227
128.0,0.06279,20228
129.0,0.06377,20230
130.0,0.06377,20232
131.0,0.06524,20233
132.0,0.06475,20235
133.0,0.06573,20237
134.0,0.06524,20238
135.0,0.06769,20240
136.0,0.0672,20242
137.0,0.06917,20244
138.0,0.06966,20245
139.0,0.06966,20247
140.0,0.06966,20249
141.0,0.07162,20251
142.0,0.07211,20252
143.0,0.07113,20254
144.0,0.07358,20256
145.0,0.07603,20258
146.0,0.07505,20259
147.0,0.07603,20261
148.0,0.07652,20263
149.0,0.07799,20264
150.0,0.07652,20266
151.0,0.07898,20268
152.0,0.07947,20270
153.0,0.08045,20271
154.0,0.07947,20273
155.0,0.08094,20275
156.0,0.08192,20277
157.0,0.08388,20279
158.0,0.08192,20280
159.0,0.08437,20282
160.0,0.08633,20284
161.0,0.08633,20286
162.0,0.08535,20287
163.0,0.08682,20289
164.0,0.08633,20291
165.0,0.08928,20293
166.0,0.08879,20295
167.0,0.09026,20296
168.0,0.09075,20298
169.0,0.09075,20300
170.0,0.09222,20302
171.0,0.0932,20303
172.0,0.09369,20305
173.0,0.09271,20307
174.0,0.09614,20309
175.0,0.09614,20311
176.0,0.09811,20312
177.0,0.09958,20314
178.0,0.09811,20316
179.0,0.09909,20318
180.0,0.1001,20320
181.0,0.1001,20322
182.0,0.1001,20323
183.0,0.104,20325
184.0,0.1025,20327
185.0,0.104,20329
186.0,0.1055,20331
187.0,0.1045,20332
188.0,0.104,20334
189.0,0.1064,20336
190.0,0.1079,20338
191.0,0.1074,20340
192.0,0.1094,20342
193.0,0.1094,20343
194.0,0.1109,20345
195.0,0.1123,20347
196.0,0.1114,20349
197.0,0.1133,20351
198.0,0.1123,20353
199.0,0.1153,20355
200.0,0.1148,20356
201.0,0.1158,20358
202.0,0.1182,20360
203.0,0.1163,20362
204.0,0.1187,20364
205.0,0.1192,20366
206.0,0.1192,20368
207.0,0.1192,20369
208.0,0.1221,20371
209.0,0.1231,20373
210.0,0.1236,20375
211.0,0.1241,20377
212.0,0.1226,20379
213.0,0.1246,20381
214.0,0.1246,20383
215.0,0.127,20384
216.0,0.127,20386
217.0,0.1295,20388
218.0,0.131,20390
219.0,0.131,20392
220.0,0.13,20394
221.0,0.1329,20396
222.0,0.1324,20398
223.0,0.1339,20400
224.0,0.1334,20402
225.0,0.1354,20403
226.0,0.1364,20405
227.0,0.1369,20407
228.0,0.1378,20409
229.0,0.1388,20411
230.0,0.1388,20413
231.0,0.1408,20415
232.0,0.1413,20417
233.0,0.1418,20419
234.0,0.1427,20421
235.0,0.1418,20423
236.0,0.1432,20424
237.0,0.1457,20426
238.0,0.1447,20428
239.0,0.1472,20430
240.0,0.1477,20432
241.0,0.1486,20434
242.0,0.1501,20436
243.0,0.1506,20438
244.0,0.1506,20440
245.0,0.1516,20442
246.0,0.1521,20444
247.0,0.153,20446
248.0,0.1535,20448
249.0,0.1555,20450
250.0,0.156,20452
251.0,0.1555,20453
252.0,0.1575,20455
253.0,0.158,20457
254.0,0.1584,20459
255.0,0.1599,20461
256.0,0.1624,20463
257.0,0.1609,20465
258.0,0.1633,20467
259.0,0.1638,20469
260.0,0.1643,20471
261.0,0.1648,20473
262.0,0.1629,20475
263.0,0.1668,20477
264.0,0.1653,20479
265.0,0.1687,20481
266.0,0.1697,20483
267.0,0.1692,20485
268.0,0.1712,20487
269.0,0.1722,20489
270.0,0.1717,20491
271.0,0.1732,20493
272.0,0.1736,20491
273.0,0.1766,20500
274.0,0.1746,20501
275.0,0.1786,20500
276.0,0.1766,20502
277.0,0.1771,20506
278.0,0.1786,20507
279.0,0.01472,20508
